No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
171,PSA,Public Storage,61.70B,351.36,0.38%,4.70B
172,SLB,Schlumberger Limited,61.65B,43.66,0.41%,36.00B
173,CPRT,"Copart, Inc.",61.19B,63.51,-0.45%,4.36B
174,MET,"MetLife, Inc.",61.11B,88.25,0.56%,71.34B
175,HLT,Hilton Worldwide Holdings Inc.,61.05B,250.42,-1.02%,4.70B
176,GM,General Motors Company,61.03B,55.5,1.30%,182.72B
177,PCAR,PACCAR Inc,60.91B,116.18,0.31%,34.83B
178,TRV,"The Travelers Companies, Inc.",60.54B,266.66,1.10%,45.34B
179,ROP,"Roper Technologies, Inc.",60.51B,564.35,0.44%,6.78B
180,SRE,Sempra,59.72B,94.28,1.06%,12.92B
181,TGT,Target Corporation,59.61B,130.09,2.80%,107.57B
182,BK,The Bank of New York Mellon Corporation,59.43B,81.74,0.58%,17.80B
183,GWW,"W.W. Grainger, Inc.",58.73B,"1,205.87",-0.94%,16.93B
184,NXPI,NXP Semiconductors N.V.,57.57B,226.53,-0.93%,12.93B
185,FICO,Fair Isaac Corporation,57.31B,"2,354.00",-1.19%,1.72B
186,URI,"United Rentals, Inc.",56.24B,856.98,-1.85%,14.98B
187,AMP,"Ameriprise Financial, Inc.",55.48B,571.91,-0.37%,17.45B
188,JCI,Johnson Controls International plc,55.43B,83.71,-0.05%,22.95B
189,ALL,The Allstate Corporation,55.13B,208.2,0.16%,62.43B
190,PSX,Phillips 66,55.07B,133.35,-0.67%,147.74B
191,DHI,"D.R. Horton, Inc.",54.42B,169.43,0.43%,36.80B
192,AZO,"AutoZone, Inc.",53.93B,"3,190.10",1.46%,18.49B
193,MNST,Monster Beverage Corporation,53.62B,55.14,0.57%,7.41B
194,AEP,"American Electric Power Company, Inc.",53.20B,99.89,0.56%,19.60B
195,VST,Vistra Corp.,52.57B,154.52,-5.00%,16.27B
